,tag,year,nodes,application,problem_size,metric,value
0,patch_31May2019,2019,1,lammps,2x2x2,wall_time,16.0
1,patch_31May2019,2019,1,lammps,2x2x2,ranks,1
2,patch_31May2019,2019,1,lammps,2x2x2,cpu_utilization,99.6
3,patch_21Jul2020,2020,1,lammps,2x2x2,wall_time,15.0
4,patch_21Jul2020,2020,1,lammps,2x2x2,ranks,1
5,patch_21Jul2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
6,patch_15Jun2020,2020,1,lammps,2x2x2,wall_time,16.0
7,patch_15Jun2020,2020,1,lammps,2x2x2,ranks,1
8,patch_15Jun2020,2020,1,lammps,2x2x2,cpu_utilization,99.4
9,patch_2Aug2023,2023,1,lammps,2x2x2,wall_time,15.0
10,patch_2Aug2023,2023,1,lammps,2x2x2,ranks,1
11,patch_2Aug2023,2023,1,lammps,2x2x2,cpu_utilization,100.0
12,patch_19Mar2020,2020,1,lammps,2x2x2,wall_time,16.0
13,patch_19Mar2020,2020,1,lammps,2x2x2,ranks,1
14,patch_19Mar2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
15,patch_29Oct2020,2020,1,lammps,2x2x2,wall_time,15.0
16,patch_29Oct2020,2020,1,lammps,2x2x2,ranks,1
17,patch_29Oct2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
18,stable_29Sep2021_update3,2021,1,lammps,2x2x2,wall_time,15.0
19,stable_29Sep2021_update3,2021,1,lammps,2x2x2,ranks,1
20,stable_29Sep2021_update3,2021,1,lammps,2x2x2,cpu_utilization,99.9
21,patch_9Oct2020,2020,1,lammps,2x2x2,wall_time,15.0
22,patch_9Oct2020,2020,1,lammps,2x2x2,ranks,1
23,patch_9Oct2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
24,patch_28Mar2023_update1,2023,1,lammps,2x2x2,wall_time,15.0
25,patch_28Mar2023_update1,2023,1,lammps,2x2x2,ranks,1
26,patch_28Mar2023_update1,2023,1,lammps,2x2x2,cpu_utilization,99.9
27,patch_15Apr2020,2020,1,lammps,2x2x2,wall_time,15.0
28,patch_15Apr2020,2020,1,lammps,2x2x2,ranks,1
29,patch_15Apr2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
30,patch_27May2021,2021,1,lammps,2x2x2,wall_time,15.0
31,patch_27May2021,2021,1,lammps,2x2x2,ranks,1
32,patch_27May2021,2021,1,lammps,2x2x2,cpu_utilization,99.9
33,stable_5Jun2019,2019,1,lammps,2x2x2,wall_time,16.0
34,stable_5Jun2019,2019,1,lammps,2x2x2,ranks,1
35,stable_5Jun2019,2019,1,lammps,2x2x2,cpu_utilization,100.0
36,patch_23Jun2022,2022,1,lammps,2x2x2,wall_time,16.0
37,patch_23Jun2022,2022,1,lammps,2x2x2,ranks,1
38,patch_23Jun2022,2022,1,lammps,2x2x2,cpu_utilization,99.9
39,patch_8Apr2021,2021,1,lammps,2x2x2,wall_time,15.0
40,patch_8Apr2021,2021,1,lammps,2x2x2,ranks,1
41,patch_8Apr2021,2021,1,lammps,2x2x2,cpu_utilization,99.9
42,stable_23Jun2022,2022,1,lammps,2x2x2,wall_time,15.0
43,stable_23Jun2022,2022,1,lammps,2x2x2,ranks,1
44,stable_23Jun2022,2022,1,lammps,2x2x2,cpu_utilization,100.0
45,patch_9Jan2020,2020,1,lammps,2x2x2,wall_time,16.0
46,patch_9Jan2020,2020,1,lammps,2x2x2,ranks,1
47,patch_9Jan2020,2020,1,lammps,2x2x2,cpu_utilization,99.8
48,patch_24Dec2020,2020,1,lammps,2x2x2,wall_time,15.0
49,patch_24Dec2020,2020,1,lammps,2x2x2,ranks,1
50,patch_24Dec2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
51,patch_28Jul2021,2021,1,lammps,2x2x2,wall_time,15.0
52,patch_28Jul2021,2021,1,lammps,2x2x2,ranks,1
53,patch_28Jul2021,2021,1,lammps,2x2x2,cpu_utilization,99.9
54,stable_3Mar2020,2020,1,lammps,2x2x2,wall_time,16.0
55,stable_3Mar2020,2020,1,lammps,2x2x2,ranks,1
56,stable_3Mar2020,2020,1,lammps,2x2x2,cpu_utilization,99.7
57,stable_29Aug2024,2024,1,lammps,2x2x2,wall_time,16.0
58,stable_29Aug2024,2024,1,lammps,2x2x2,ranks,1
59,stable_29Aug2024,2024,1,lammps,2x2x2,cpu_utilization,99.9
60,patch_2Jun2022,2022,1,lammps,2x2x2,wall_time,15.0
61,patch_2Jun2022,2022,1,lammps,2x2x2,ranks,1
62,patch_2Jun2022,2022,1,lammps,2x2x2,cpu_utilization,99.8
63,stable_2Aug2023,2023,1,lammps,2x2x2,wall_time,16.0
64,stable_2Aug2023,2023,1,lammps,2x2x2,ranks,1
65,stable_2Aug2023,2023,1,lammps,2x2x2,cpu_utilization,100.0
66,stable_23Jun2022_update1,2022,1,lammps,2x2x2,wall_time,15.0
67,stable_23Jun2022_update1,2022,1,lammps,2x2x2,ranks,1
68,stable_23Jun2022_update1,2022,1,lammps,2x2x2,cpu_utilization,100.0
69,patch_21Aug2020,2020,1,lammps,2x2x2,wall_time,15.0
70,patch_21Aug2020,2020,1,lammps,2x2x2,ranks,1
71,patch_21Aug2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
72,patch_20Nov2019,2019,1,lammps,2x2x2,wall_time,16.0
73,patch_20Nov2019,2019,1,lammps,2x2x2,ranks,1
74,patch_20Nov2019,2019,1,lammps,2x2x2,cpu_utilization,99.9
75,patch_30Nov2020,2020,1,lammps,2x2x2,wall_time,15.0
76,patch_30Nov2020,2020,1,lammps,2x2x2,ranks,1
77,patch_30Nov2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
78,patch_22Oct2020,2020,1,lammps,2x2x2,wall_time,16.0
79,patch_22Oct2020,2020,1,lammps,2x2x2,ranks,1
80,patch_22Oct2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
81,patch_28Mar2023,2023,1,lammps,2x2x2,wall_time,15.0
82,patch_28Mar2023,2023,1,lammps,2x2x2,ranks,1
83,patch_28Mar2023,2023,1,lammps,2x2x2,cpu_utilization,99.9
84,patch_4May2022,2022,1,lammps,2x2x2,wall_time,15.0
85,patch_4May2022,2022,1,lammps,2x2x2,ranks,1
86,patch_4May2022,2022,1,lammps,2x2x2,cpu_utilization,99.8
87,patch_30Oct2019,2019,1,lammps,2x2x2,wall_time,16.0
88,patch_30Oct2019,2019,1,lammps,2x2x2,ranks,1
89,patch_30Oct2019,2019,1,lammps,2x2x2,cpu_utilization,99.9
90,patch_18Jun2019,2019,1,lammps,2x2x2,wall_time,16.0
91,patch_18Jun2019,2019,1,lammps,2x2x2,ranks,1
92,patch_18Jun2019,2019,1,lammps,2x2x2,cpu_utilization,100.0
93,patch_14May2021,2021,1,lammps,2x2x2,wall_time,15.0
94,patch_14May2021,2021,1,lammps,2x2x2,ranks,1
95,patch_14May2021,2021,1,lammps,2x2x2,cpu_utilization,99.9
96,stable_2Aug2023_update4,2023,1,lammps,2x2x2,wall_time,16.0
97,stable_2Aug2023_update4,2023,1,lammps,2x2x2,ranks,1
98,stable_2Aug2023_update4,2023,1,lammps,2x2x2,cpu_utilization,99.9
99,patch_5May2020,2020,1,lammps,2x2x2,wall_time,16.0
100,patch_5May2020,2020,1,lammps,2x2x2,ranks,1
101,patch_5May2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
102,patch_22Dec2022,2022,1,lammps,2x2x2,wall_time,16.0
103,patch_22Dec2022,2022,1,lammps,2x2x2,ranks,1
104,patch_22Dec2022,2022,1,lammps,2x2x2,cpu_utilization,100.0
105,stable_2Aug2023_update3,2023,1,lammps,2x2x2,wall_time,15.0
106,stable_2Aug2023_update3,2023,1,lammps,2x2x2,ranks,1
107,stable_2Aug2023_update3,2023,1,lammps,2x2x2,cpu_utilization,99.9
108,patch_18Sep2020,2020,1,lammps,2x2x2,wall_time,15.0
109,patch_18Sep2020,2020,1,lammps,2x2x2,ranks,1
110,patch_18Sep2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
111,patch_29Aug2024,2024,1,lammps,2x2x2,wall_time,16.0
112,patch_29Aug2024,2024,1,lammps,2x2x2,ranks,1
113,patch_29Aug2024,2024,1,lammps,2x2x2,cpu_utilization,100.0
114,patch_14Dec2021,2021,1,lammps,2x2x2,wall_time,15.0
115,patch_14Dec2021,2021,1,lammps,2x2x2,ranks,1
116,patch_14Dec2021,2021,1,lammps,2x2x2,cpu_utilization,100.0
117,patch_30Jul2021,2021,1,lammps,2x2x2,wall_time,16.0
118,patch_30Jul2021,2021,1,lammps,2x2x2,ranks,1
119,patch_30Jul2021,2021,1,lammps,2x2x2,cpu_utilization,99.8
120,patch_10Mar2021,2021,1,lammps,2x2x2,wall_time,15.0
121,patch_10Mar2021,2021,1,lammps,2x2x2,ranks,1
122,patch_10Mar2021,2021,1,lammps,2x2x2,cpu_utilization,99.9
123,stable_2Aug2023_update1,2023,1,lammps,2x2x2,wall_time,15.0
124,stable_2Aug2023_update1,2023,1,lammps,2x2x2,ranks,1
125,stable_2Aug2023_update1,2023,1,lammps,2x2x2,cpu_utilization,99.8
126,stable_29Aug2024_update1,2024,1,lammps,2x2x2,wall_time,15.0
127,stable_29Aug2024_update1,2024,1,lammps,2x2x2,ranks,1
128,stable_29Aug2024_update1,2024,1,lammps,2x2x2,cpu_utilization,99.9
129,patch_19Sep2019,2019,1,lammps,2x2x2,wall_time,16.0
130,patch_19Sep2019,2019,1,lammps,2x2x2,ranks,1
131,patch_19Sep2019,2019,1,lammps,2x2x2,cpu_utilization,100.0
132,patch_2Jun2020,2020,1,lammps,2x2x2,wall_time,16.0
133,patch_2Jun2020,2020,1,lammps,2x2x2,ranks,1
134,patch_2Jun2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
135,stable_23Jun2022_update3,2022,1,lammps,2x2x2,wall_time,15.0
136,stable_23Jun2022_update3,2022,1,lammps,2x2x2,ranks,1
137,stable_23Jun2022_update3,2022,1,lammps,2x2x2,cpu_utilization,99.8
138,patch_3Aug2022,2022,1,lammps,2x2x2,wall_time,16.0
139,patch_3Aug2022,2022,1,lammps,2x2x2,ranks,1
140,patch_3Aug2022,2022,1,lammps,2x2x2,cpu_utilization,99.9
141,patch_2Jul2021,2021,1,lammps,2x2x2,wall_time,16.0
142,patch_2Jul2021,2021,1,lammps,2x2x2,ranks,1
143,patch_2Jul2021,2021,1,lammps,2x2x2,cpu_utilization,99.7
144,patch_31Aug2021,2021,1,lammps,2x2x2,wall_time,16.0
145,patch_31Aug2021,2021,1,lammps,2x2x2,ranks,1
146,patch_31Aug2021,2021,1,lammps,2x2x2,cpu_utilization,99.9
147,patch_5Jun2019,2019,1,lammps,2x2x2,wall_time,16.0
148,patch_5Jun2019,2019,1,lammps,2x2x2,ranks,1
149,patch_5Jun2019,2019,1,lammps,2x2x2,cpu_utilization,100.0
150,patch_10Feb2021,2021,1,lammps,2x2x2,wall_time,15.0
151,patch_10Feb2021,2021,1,lammps,2x2x2,ranks,1
152,patch_10Feb2021,2021,1,lammps,2x2x2,cpu_utilization,99.9
153,patch_7Aug2019,2019,1,lammps,2x2x2,wall_time,16.0
154,patch_7Aug2019,2019,1,lammps,2x2x2,ranks,1
155,patch_7Aug2019,2019,1,lammps,2x2x2,cpu_utilization,99.9
156,stable_7Aug2019,2019,1,lammps,2x2x2,wall_time,16.0
157,stable_7Aug2019,2019,1,lammps,2x2x2,ranks,1
158,stable_7Aug2019,2019,1,lammps,2x2x2,cpu_utilization,99.9
159,patch_21Nov2023,2023,1,lammps,2x2x2,wall_time,15.0
160,patch_21Nov2023,2023,1,lammps,2x2x2,ranks,1
161,patch_21Nov2023,2023,1,lammps,2x2x2,cpu_utilization,99.6
162,patch_30Jun2020,2020,1,lammps,2x2x2,wall_time,15.0
163,patch_30Jun2020,2020,1,lammps,2x2x2,ranks,1
164,patch_30Jun2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
165,stable_29Oct2020,2020,1,lammps,2x2x2,wall_time,15.0
166,stable_29Oct2020,2020,1,lammps,2x2x2,ranks,1
167,stable_29Oct2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
168,patch_7Feb2024_update1,2024,1,lammps,2x2x2,wall_time,16.0
169,patch_7Feb2024_update1,2024,1,lammps,2x2x2,ranks,1
170,patch_7Feb2024_update1,2024,1,lammps,2x2x2,cpu_utilization,100.0
171,patch_3Nov2022,2022,1,lammps,2x2x2,wall_time,15.0
172,patch_3Nov2022,2022,1,lammps,2x2x2,ranks,1
173,patch_3Nov2022,2022,1,lammps,2x2x2,cpu_utilization,99.7
174,patch_7Jan2022,2022,1,lammps,2x2x2,wall_time,15.0
175,patch_7Jan2022,2022,1,lammps,2x2x2,ranks,1
176,patch_7Jan2022,2022,1,lammps,2x2x2,cpu_utilization,99.9
177,patch_3Mar2020,2020,1,lammps,2x2x2,wall_time,16.0
178,patch_3Mar2020,2020,1,lammps,2x2x2,ranks,1
179,patch_3Mar2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
180,patch_27Feb2020,2020,1,lammps,2x2x2,wall_time,16.0
181,patch_27Feb2020,2020,1,lammps,2x2x2,ranks,1
182,patch_27Feb2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
183,stable_29Sep2021_update2,2021,1,lammps,2x2x2,wall_time,16.0
184,stable_29Sep2021_update2,2021,1,lammps,2x2x2,ranks,1
185,stable_29Sep2021_update2,2021,1,lammps,2x2x2,cpu_utilization,99.9
186,stable_23Jun2022_update4,2022,1,lammps,2x2x2,wall_time,15.0
187,stable_23Jun2022_update4,2022,1,lammps,2x2x2,ranks,1
188,stable_23Jun2022_update4,2022,1,lammps,2x2x2,cpu_utilization,99.9
189,patch_24Mar2022,2022,1,lammps,2x2x2,wall_time,16.0
190,patch_24Mar2022,2022,1,lammps,2x2x2,ranks,1
191,patch_24Mar2022,2022,1,lammps,2x2x2,cpu_utilization,99.8
192,patch_8Feb2023,2023,1,lammps,2x2x2,wall_time,16.0
193,patch_8Feb2023,2023,1,lammps,2x2x2,ranks,1
194,patch_8Feb2023,2023,1,lammps,2x2x2,cpu_utilization,99.9
195,patch_29Sep2021,2021,1,lammps,2x2x2,wall_time,16.0
196,patch_29Sep2021,2021,1,lammps,2x2x2,ranks,1
197,patch_29Sep2021,2021,1,lammps,2x2x2,cpu_utilization,99.8
198,stable_2Aug2023_update2,2023,1,lammps,2x2x2,wall_time,15.0
199,stable_2Aug2023_update2,2023,1,lammps,2x2x2,ranks,1
200,stable_2Aug2023_update2,2023,1,lammps,2x2x2,cpu_utilization,99.8
201,patch_19Jul2019,2019,1,lammps,2x2x2,wall_time,16.0
202,patch_19Jul2019,2019,1,lammps,2x2x2,ranks,1
203,patch_19Jul2019,2019,1,lammps,2x2x2,cpu_utilization,100.0
204,patch_15Sep2022,2022,1,lammps,2x2x2,wall_time,16.0
205,patch_15Sep2022,2022,1,lammps,2x2x2,ranks,1
206,patch_15Sep2022,2022,1,lammps,2x2x2,cpu_utilization,99.9
207,patch_17Apr2024,2024,1,lammps,2x2x2,wall_time,16.0
208,patch_17Apr2024,2024,1,lammps,2x2x2,ranks,1
209,patch_17Apr2024,2024,1,lammps,2x2x2,cpu_utilization,99.9
210,patch_2Aug2019,2019,1,lammps,2x2x2,wall_time,16.0
211,patch_2Aug2019,2019,1,lammps,2x2x2,ranks,1
212,patch_2Aug2019,2019,1,lammps,2x2x2,cpu_utilization,100.0
213,patch_15Jun2023,2023,1,lammps,2x2x2,wall_time,15.0
214,patch_15Jun2023,2023,1,lammps,2x2x2,ranks,1
215,patch_15Jun2023,2023,1,lammps,2x2x2,cpu_utilization,99.9
216,patch_27Oct2021,2021,1,lammps,2x2x2,wall_time,16.0
217,patch_27Oct2021,2021,1,lammps,2x2x2,ranks,1
218,patch_27Oct2021,2021,1,lammps,2x2x2,cpu_utilization,99.7
219,stable_29Sep2021_update1,2021,1,lammps,2x2x2,wall_time,15.0
220,stable_29Sep2021_update1,2021,1,lammps,2x2x2,ranks,1
221,stable_29Sep2021_update1,2021,1,lammps,2x2x2,cpu_utilization,99.9
222,patch_20Sep2021,2021,1,lammps,2x2x2,wall_time,15.0
223,patch_20Sep2021,2021,1,lammps,2x2x2,ranks,1
224,patch_20Sep2021,2021,1,lammps,2x2x2,cpu_utilization,100.0
225,stable_29Sep2021,2021,1,lammps,2x2x2,wall_time,16.0
226,stable_29Sep2021,2021,1,lammps,2x2x2,ranks,1
227,stable_29Sep2021,2021,1,lammps,2x2x2,cpu_utilization,100.0
228,patch_4Feb2020,2020,1,lammps,2x2x2,wall_time,16.0
229,patch_4Feb2020,2020,1,lammps,2x2x2,ranks,1
230,patch_4Feb2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
231,patch_6Aug2019,2019,1,lammps,2x2x2,wall_time,16.0
232,patch_6Aug2019,2019,1,lammps,2x2x2,ranks,1
233,patch_6Aug2019,2019,1,lammps,2x2x2,cpu_utilization,99.9
234,patch_17Feb2022,2022,1,lammps,2x2x2,wall_time,15.0
235,patch_17Feb2022,2022,1,lammps,2x2x2,ranks,1
236,patch_17Feb2022,2022,1,lammps,2x2x2,cpu_utilization,99.9
237,patch_18Feb2020,2020,1,lammps,2x2x2,wall_time,16.0
238,patch_18Feb2020,2020,1,lammps,2x2x2,ranks,1
239,patch_18Feb2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
240,patch_24Aug2020,2020,1,lammps,2x2x2,wall_time,15.0
241,patch_24Aug2020,2020,1,lammps,2x2x2,ranks,1
242,patch_24Aug2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
243,patch_27Jun2024,2024,1,lammps,2x2x2,wall_time,16.0
244,patch_27Jun2024,2024,1,lammps,2x2x2,ranks,1
245,patch_27Jun2024,2024,1,lammps,2x2x2,cpu_utilization,100.0
246,patch_24Jan2020,2020,1,lammps,2x2x2,wall_time,16.0
247,patch_24Jan2020,2020,1,lammps,2x2x2,ranks,1
248,patch_24Jan2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
249,patch_7Feb2024,2024,1,lammps,2x2x2,wall_time,15.0
250,patch_7Feb2024,2024,1,lammps,2x2x2,ranks,1
251,patch_7Feb2024,2024,1,lammps,2x2x2,cpu_utilization,99.9
252,stable_23Jun2022_update2,2022,1,lammps,2x2x2,wall_time,15.0
253,stable_23Jun2022_update2,2022,1,lammps,2x2x2,ranks,1
254,stable_23Jun2022_update2,2022,1,lammps,2x2x2,cpu_utilization,99.9
